ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000037114,1.34725502,0.549009629,3.863000196,0.142120011,0.886985212,NA
ENSRNOG00000007249,4910.405836,-0.01658147,0.189669502,-0.087422963,0.930335317,0.961314065
ENSRNOG00000037113,8977.743211,-0.778857397,0.212244893,-3.669616664,0.000242914,0.001975943
ENSRNOG00000048394,547.8754397,0.184345716,0.272269429,0.677070932,0.498360951,0.672529362
ENSRNOG00000048397,2738.95208,0.17276349,0.222775978,0.775503227,0.43804236,0.619822675
ENSRNOG00000007247,9.40483734,0.885666846,2.499746014,0.354302734,0.723112019,0.83875948
ENSRNOG00000052220,383.9502628,1.750826179,0.530120864,3.302692456,0.000957614,0.005974821
ENSRNOG00000017197,1341.418513,-1.387738688,0.405226116,-3.424603286,0.000615698,0.004217114
ENSRNOG00000012342,244.4473321,0.6360604,0.571399987,1.113161384,0.265639124,0.447274342
ENSRNOG00000066850,161.5717385,1.157897695,0.333467052,3.472300155,0.000516019,0.003662662
ENSRNOG00000012344,9.01675709,0.870400166,2.081229348,0.41821444,0.675790339,0.808022715
ENSRNOG00000017193,73.97882076,-0.67498088,0.568997107,-1.18626417,0.235517992,0.411188086
ENSRNOG00000019639,86.01639854,-0.805662495,0.42445186,-1.898124549,0.057679677,0.148604125
ENSRNOG00000019638,11284.8181,-0.375280111,0.205723483,-1.824196758,0.068122332,0.168590648
ENSRNOG00000019635,2256.809666,0.037635505,0.156045524,0.241182858,0.809413396,0.89288014
ENSRNOG00000019634,4868.245331,-0.224844526,0.172008773,-1.307168947,0.191155339,0.355568249
ENSRNOG00000017191,8001.296612,-0.120201893,0.153657008,-0.782274066,0.434053525,0.616228874
ENSRNOG00000019630,512.5137065,-0.33204696,0.250381703,-1.326163038,0.184785699,0.347284343
ENSRNOG00000013844,1401.331881,-0.347381832,0.212705108,-1.633161679,0.102434997,0.22810042
ENSRNOG00000013845,775.7047795,-0.103400343,0.172542443,-0.599274829,0.54898963,0.71400979
ENSRNOG00000013847,579.023119,0.678232033,0.301140525,2.252211102,0.024308935,0.07672827
ENSRNOG00000013840,1.238573842,0.874227799,3.881266698,0.225242908,0.821790311,NA
ENSRNOG00000013841,1777.848351,0.091415823,0.156393205,0.584525542,0.558866786,0.721259713
ENSRNOG00000007141,3150.738939,0.262486847,0.212603761,1.23462937,0.216968473,0.389596102
ENSRNOG00000007147,190.2546909,2.096116676,0.453235451,4.624785352,3.75E-06,6.36E-05
ENSRNOG00000038355,21.10647351,0.561674352,0.760909077,0.738162243,0.460415864,0.640237569
ENSRNOG00000006238,2508.108663,0.108364828,0.194662851,0.556679552,0.57774639,0.73641189
ENSRNOG00000006231,1934.775614,-0.582929577,0.280008799,-2.081825926,0.037358373,0.107031875
ENSRNOG00000006235,5.770783765,-1.305805297,2.164073515,-0.603401543,0.546241596,0.711585803
ENSRNOG00000006237,73.0195109,-0.881759459,0.416841835,-2.115333411,0.034401541,0.100600394
ENSRNOG00000006236,272.1970411,-0.510772778,0.678406403,-0.75290088,0.451509479,0.63201901
ENSRNOG00000018076,2070.485439,-0.780836137,0.285353065,-2.736386017,0.006211811,0.026153967
ENSRNOG00000000699,2725.849819,-2.067675313,0.229511863,-9.009012826,2.08E-19,7.10E-17
ENSRNOG00000029238,1408.313623,-0.188729946,0.19985457,-0.944336404,0.344997769,0.532034509
ENSRNOG00000000691,58.01928332,-0.73413429,0.763458369,-0.961590467,0.336255362,0.524019106
ENSRNOG00000068222,7.09302022,6.435804524,2.13816383,3.009967914,0.002612753,0.013325679
ENSRNOG00000000693,5.244150999,-2.606911903,2.639936805,-0.987490268,0.323402351,0.510257647
ENSRNOG00000029235,19.42267537,-7.550796678,1.578652087,-4.783065718,1.73E-06,3.32E-05
ENSRNOG00000000695,3328.129558,0.149131002,0.364649521,0.408970789,0.682561098,0.812493984
ENSRNOG00000000697,6568.254738,-0.161050059,0.18389913,-0.87575215,0.381164788,0.568115889
ENSRNOG00000068223,2.943642606,-0.35195719,2.482778318,-0.14175941,0.887270046,NA
ENSRNOG00000017488,2191.147601,0.893763052,0.234855024,3.805594773,0.000141464,0.001280133
ENSRNOG00000017489,3132.022837,0.154954559,0.205576624,0.753755735,0.450995908,0.631535554
ENSRNOG00000013596,738.2805583,-0.097958698,0.270135286,-0.362628296,0.71688257,0.834190067
ENSRNOG00000013594,2644.225846,-0.291633312,0.167319828,-1.742969233,0.081338989,0.19268873
ENSRNOG00000013593,58.72562263,-0.499142458,1.289248858,-0.387157573,0.698639558,0.822480777
ENSRNOG00000013591,32.49417664,1.004489972,0.763632241,1.315410635,0.188371933,0.351820003
ENSRNOG00000013598,168.9208927,-1.464078501,0.507356513,-2.885699626,0.003905447,0.018230774
ENSRNOG00000012469,1250.353915,-0.438201567,0.179135024,-2.446208206,0.01443676,0.050956146
ENSRNOG00000065584,723.0848757,1.277266452,0.28148462,4.537606535,5.69E-06,9.12E-05
ENSRNOG00000012467,9.015655818,-6.445292848,2.045938174,-3.150287203,0.0016311,0.00913825
ENSRNOG00000012460,219.6055918,-0.139120977,0.304596851,-0.456738066,0.647859326,0.789389343
ENSRNOG00000066729,18.87819825,0.00100687,0.873268285,0.00115299,0.999080047,0.999186491
ENSRNOG00000017485,626.1970175,-1.429191082,0.375839101,-3.802667362,0.000143146,0.001290174
ENSRNOG00000063515,1.252154706,0.781188198,2.738566979,0.28525437,0.775449269,NA
ENSRNOG00000015857,19400.10395,-0.472844793,0.14253697,-3.317348426,0.000908762,0.005748349
ENSRNOG00000015850,10.9384689,-1.338743835,1.429528096,-0.936493545,0.349019134,0.536423352
ENSRNOG00000015852,2962.017549,-0.258313867,0.211313935,-1.222417569,0.221549759,0.39500239
ENSRNOG00000015859,318.018056,-0.240285659,0.303750373,-0.791062925,0.428907273,0.611838595
ENSRNOG00000015858,493.6460568,0.304583583,0.333681579,0.912797116,0.361349256,0.548953789
ENSRNOG00000003348,728.6896622,1.956821363,0.446286318,4.384677021,1.16E-05,0.000165963
ENSRNOG00000003349,445.6751125,0.781702476,0.447076765,1.748474843,0.080381838,0.190854765
ENSRNOG00000003346,262.5024102,0.441158655,0.349548274,1.262082201,0.206919209,0.376826194
ENSRNOG00000071064,8.114515912,0.089956811,1.523939509,0.059029122,0.952928913,0.975065282
ENSRNOG00000071065,704.5998589,0.375614722,0.196221556,1.914237809,0.055589777,0.144548819
ENSRNOG00000071060,2.029167045,-1.100962556,3.305863876,-0.33303324,0.739109192,NA
ENSRNOG00000039405,1.742658623,-4.074013501,3.929368085,-1.036811368,0.299823776,NA
ENSRNOG00000001270,4223.808947,-1.674800953,0.212599857,-7.877714394,3.33E-15,5.54E-13
ENSRNOG00000001271,365.9433163,-1.77317505,0.510458883,-3.473688304,0.000513357,0.003647599
ENSRNOG00000001272,3148.458636,0.393406704,0.144451539,2.72345111,0.006460378,0.026976675
ENSRNOG00000001273,1284.372633,0.86410387,0.333128733,2.59390375,0.009489305,0.036637619
ENSRNOG00000001274,3693.083009,-0.198411439,0.160467662,-1.236457468,0.216288566,0.388791107
ENSRNOG00000001275,970.5648488,0.582023248,0.192243546,3.027530753,0.002465606,0.012706366
